-2015.8,5554.5,-1406.7,NaN,0.05
1660.6,1740.2,1662.8,NaN,0.05
2167.8,4562.7,-4567.5,NaN,0.05
-82.227,-19.537,-168.83,NaN,0.05
49.945,-72.176,19.955,NaN,0.05
79.459,-74.102,167.67,NaN,0.05
-2015.1,5555.6,-1409.1,NaN,0.1
1660.3,1740.1,1664.4,NaN,0.1
2169,4562.4,-4560.6,NaN,0.1
-83.654,-20.617,-168.97,NaN,0.1
50.057,-71.939,20.05,NaN,0.1
80.483,-75.021,167.76,NaN,0.1
-2014.6,5556.7,NaN,NaN,0.15
1661.5,1739.9,NaN,NaN,0.15
2170.9,4562.1,NaN,NaN,0.15
-84.449,-21.152,NaN,NaN,0.15
50.825,-71.964,NaN,NaN,0.15
83.231,-75.601,NaN,NaN,0.15
-2013.8,5557.8,NaN,NaN,0.2
1661.9,1739.8,NaN,NaN,0.2
2172.9,4562.1,NaN,NaN,0.2
-85.99,-21.734,NaN,NaN,0.2
51.354,-71.67,NaN,NaN,0.2
85.564,-76.079,NaN,NaN,0.2
-2012.8,5558.9,NaN,NaN,0.25
1662.1,1739.5,NaN,NaN,0.25
2175.2,4561.9,NaN,NaN,0.25
-87.801,-21.83,NaN,NaN,0.25
51.798,-71.802,NaN,NaN,0.25
88.119,-76.491,NaN,NaN,0.25
-2011.8,5559.9,-1416.4,NaN,0.3
1662.5,1739.3,1670.3,NaN,0.3
2177.6,4562,-4534.5,NaN,0.3
-89.749,-22.136,-166.64,NaN,0.3
52.262,-71.405,20.148,NaN,0.3
91.289,-76.766,168.13,NaN,0.3
-2010.5,5560.9,NaN,NaN,0.35
1662.8,1739.2,NaN,NaN,0.35
2180.1,4562.1,NaN,NaN,0.35
-91.935,-22.259,NaN,NaN,0.35
52.622,-71.166,NaN,NaN,0.35
94.531,-76.946,NaN,NaN,0.35
-2009.3,5561.9,NaN,NaN,0.4
1663.3,1739,NaN,NaN,0.4
2182.6,4562.2,NaN,NaN,0.4
-93.735,-22.281,NaN,NaN,0.4
52.595,-71.075,NaN,NaN,0.4
97.638,-77.173,NaN,NaN,0.4
-2008,5562.7,-1419.6,NaN,0.45
1663.5,1738.9,1671.7,NaN,0.45
2184.9,4562.3,-4518.2,NaN,0.45
-96.011,-22.158,-166.36,NaN,0.45
52.809,-70.978,20.581,NaN,0.45
100.97,-77.207,170.75,NaN,0.45
-2006.6,5563.7,-1421,NaN,0.5
1663.4,1738.8,1675.1,NaN,0.5
2187,4562.7,-4513.4,NaN,0.5
-98.032,-22.116,-168.13,NaN,0.5
52.487,-70.673,20.934,NaN,0.5
104.1,-77.256,171.05,NaN,0.5
-2005.5,5564.6,NaN,NaN,0.55
1663.6,1738.6,NaN,NaN,0.55
2189,4563.1,NaN,NaN,0.55
-100.26,-21.906,NaN,NaN,0.55
52.444,-70.445,NaN,NaN,0.55
107.46,-77.221,NaN,NaN,0.55
-2004.3,5565.4,-1421.7,NaN,0.6
1663.6,1738.4,1674.1,NaN,0.6
2190.8,4563.4,-4505,NaN,0.6
-102.45,-21.759,-165.89,NaN,0.6
52.341,-70.11,20.441,NaN,0.6
110.45,-77.218,170.73,NaN,0.6
-2003,5566.2,NaN,NaN,0.65
1663.5,1738,NaN,NaN,0.65
2192.3,4563.6,NaN,NaN,0.65
-104.23,-21.084,NaN,NaN,0.65
52.033,-70.166,NaN,NaN,0.65
112.83,-76.967,NaN,NaN,0.65
-2002.2,5567,-1422.1,NaN,0.7
1663.7,1737.5,1675.6,NaN,0.7
2193.7,4563.7,-4498,NaN,0.7
-105.98,-20.22,-165.72,NaN,0.7
51.759,-70.178,20.316,NaN,0.7
115.44,-76.487,171.15,NaN,0.7
-2001.2,5567.8,NaN,NaN,0.75
1663.8,1737.1,NaN,NaN,0.75
2194.8,4564.1,NaN,NaN,0.75
-106.26,-19.903,NaN,NaN,0.75
50.259,-69.66,NaN,NaN,0.75
116.44,-76.462,NaN,NaN,0.75
-2000.1,5568.5,NaN,NaN,0.8
1663.7,1736.5,NaN,NaN,0.8
2195.8,4564.1,NaN,NaN,0.8
-107.56,-19.005,NaN,NaN,0.8
49.836,-69.492,NaN,NaN,0.8
118.22,-75.965,NaN,NaN,0.8
-1999.3,5569,NaN,NaN,0.85
1663.8,1736,NaN,NaN,0.85
2196.6,4564.2,NaN,NaN,0.85
-108.89,-18.615,NaN,NaN,0.85
49.618,-69.185,NaN,NaN,0.85
120.05,-75.835,NaN,NaN,0.85
-1998.6,5569.6,NaN,NaN,0.9
1663.9,1735.5,NaN,NaN,0.9
2197.2,4564,NaN,NaN,0.9
-109.96,-17.799,NaN,NaN,0.9
49.407,-68.989,NaN,NaN,0.9
121.55,-75.341,NaN,NaN,0.9
-1997.7,NaN,NaN,NaN,0.95
1663.9,NaN,NaN,NaN,0.95
2197.7,NaN,NaN,NaN,0.95
-111.02,NaN,NaN,NaN,0.95
49.214,NaN,NaN,NaN,0.95
123.02,NaN,NaN,NaN,0.95
-1997.1,NaN,NaN,NaN,1
1664,NaN,NaN,NaN,1
2198.2,NaN,NaN,NaN,1
-111.82,NaN,NaN,NaN,1
49.01,NaN,NaN,NaN,1
124.11,NaN,NaN,NaN,1
-1996.4,NaN,NaN,NaN,1.05
1664.1,NaN,NaN,NaN,1.05
2198.5,NaN,NaN,NaN,1.05
-112.55,NaN,NaN,NaN,1.05
48.837,NaN,NaN,NaN,1.05
125.16,NaN,NaN,NaN,1.05
-1995.9,NaN,NaN,NaN,1.1
1664.1,NaN,NaN,NaN,1.1
2198.7,NaN,NaN,NaN,1.1
-113.22,NaN,NaN,NaN,1.1
48.767,NaN,NaN,NaN,1.1
126.03,NaN,NaN,NaN,1.1
-1995.4,NaN,NaN,NaN,1.15
1664.1,NaN,NaN,NaN,1.15
2198.9,NaN,NaN,NaN,1.15
-113.94,NaN,NaN,NaN,1.15
48.804,NaN,NaN,NaN,1.15
126.77,NaN,NaN,NaN,1.15
-1994.9,NaN,NaN,NaN,1.2
1664.1,NaN,NaN,NaN,1.2
2199,NaN,NaN,NaN,1.2
-114.36,NaN,NaN,NaN,1.2
48.667,NaN,NaN,NaN,1.2
127.36,NaN,NaN,NaN,1.2
-1994.6,NaN,NaN,NaN,1.25
1664.2,NaN,NaN,NaN,1.25
2199.1,NaN,NaN,NaN,1.25
-114.68,NaN,NaN,NaN,1.25
48.579,NaN,NaN,NaN,1.25
127.84,NaN,NaN,NaN,1.25
-1994.2,NaN,NaN,NaN,1.3
1664.2,NaN,NaN,NaN,1.3
2199.2,NaN,NaN,NaN,1.3
-115.05,NaN,NaN,NaN,1.3
